기간	자치구	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황
기간	자치구	합계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
기간	자치구	합계	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증
2018	성북구	352	261	78	43	138	2	82	-	28	54	-	9	-	6	3	-
2018	강북구	420	280	98	59	119	4	128	-	22	106	-	12	1	7	4	-
2018	도봉구	276	204	76	45	82	1	65	-	15	50	-	7	-	5	2	-
2018	노원구	294	222	63	49	109	1	66	2	10	54	-	6	-	4	2	-
2018	은평구	384	285	95	52	133	5	87	1	8	78	-	12	1	11	-	-
2018	서대문구	188	179	73	23	82	1	1	-	-	1	-	8	-	3	5	-
2018	마포구	528	222	106	89	15	12	297	1	143	130	23	9	1	3	3	2
2018	양천구	365	231	117	112	2	-	123	11	30	82	-	11	-	8	3	-
2018	강서구	425	288	99	81	103	5	127	4	17	106	-	10	-	7	3	-
2018	구로구	215	173	41	53	76	3	34	1	5	28	-	8	-	6	2	-
2018	금천구	181	135	37	38	58	2	45	-	11	34	-	1	-	1	-	-
2018	영등포구	229	139	50	44	43	2	75	3	12	58	2	15	1	8	6	-
2018	동작구	275	227	118	67	42	-	30	4	13	13	-	18	1	8	9	-
2018	관악구	880	493	207	275	11	-	358	11	284	59	4	29	2	24	3	-
2018	서초구	182	124	42	15	64	3	53	1	9	43	-	5	-	4	1	-
2018	강남구	271	158	58	41	57	2	100	10	17	73	-	13	1	5	7	-
2018	송파구	326	211	57	62	90	2	104	2	12	90	-	11	-	6	5	-
2018	강동구	458	291	130	107	52	2	164	-	77	75	12	3	-	1	2	-
2019	합계	7,515	4,533	1,794	1,222	1,300	217	2,726	71	883	1,633	139	256	14	147	91	4
2019	종로구	245	134	38	25	65	6	102	-	9	92	1	9	-	7	2	-
2019	중구	134	65	17	17	29	2	60	-	13	47	-	9	-	7	2	-
2019	용산구	281	168	104	45	8	11	106	9	44	40	13	7	1	2	3	1
2019	성동구	199	121	50	28	39	4	70	2	6	62	-	8	-	6	2	-
2019	광진구	250	141	57	34	40	10	95	3	10	82	-	14	-	8	6	-
2019	동대문구	289	184	70	36	67	11	95	-	6	89	-	10	-	4	6	-
2019	중랑구	394	247	108	50	79	10	140	2	17	121	-	7	2	3	2	-
2019	성북구	253	187	65	33	80	9	61	1	14	46	-	5	-	3	2	-
2019	강북구	367	266	91	59	102	14	78	-	17	61	-	23	-	11	12	-
2019	도봉구	262	180	64	43	65	8	70	-	11	59	-	12	-	7	5	-
2019	노원구	304	210	69	50	78	13	84	4	10	70	-	10	1	7	2	-
