기간,animal,자치구,계,인도(주인),입양분양,폐사안락사,계류기증
2016,개,광진구,199,84,49,65,1
2016,고양이,광진구,89,1,7,81,0
2016,기타 동물,광진구,8,0,7,1,0
2016,개,구로구,163,51,37,74,1
2016,고양이,구로구,35,0,5,30,0
2016,기타 동물,구로구,12,3,8,1,0
2016,개,금천구,164,45,50,67,2
2016,고양이,금천구,44,1,3,40,0
2016,기타 동물,금천구,8,0,8,0,0
2016,개,노원구,251,101,60,88,2
2016,고양이,노원구,64,1,11,52,0
2016,기타 동물,노원구,15,2,10,3,0
2016,개,도봉구,212,71,59,80,2
2016,고양이,도봉구,89,1,14,74,0
2016,기타 동물,도봉구,14,0,11,3,0
2016,개,동대문구,266,75,57,132,2
2016,고양이,동대문구,90,1,17,72,0
2016,기타 동물,동대문구,7,1,6,0,0
2016,개,동작구,277,146,51,80,0
2016,고양이,동작구,31,1,17,13,0
2016,기타 동물,동작구,27,0,9,17,1
2016,개,마포구,240,118,90,20,12
2016,고양이,마포구,338,11,145,161,21
2016,기타 동물,마포구,22,0,7,10,5
2016,개,서대문구,198,69,38,91,0
2016,고양이,서대문구,117,2,16,99,0
2016,기타 동물,서대문구,16,1,12,3,0
2016,개,서초구,112,42,27,43,0
2016,고양이,서초구,55,2,7,46,0
2016,기타 동물,서초구,9,0,8,1,0
2016,개,성동구,161,67,29,65,0
2016,고양이,성동구,52,0,9,43,0
2016,기타 동물,성동구,18,0,17,1,0
2016,개,성북구,277,95,57,124,1
2016,고양이,성북구,85,1,15,69,0
2016,기타 동물,성북구,14,1,10,3,0
2016,개,송파구,241,76,48,117,0
2016,고양이,송파구,79,1,7,71,0
2016,기타 동물,송파구,16,2,11,3,0
2016,개,양천구,306,148,78,80,0
2016,고양이,양천구,109,11,31,67,0
2016,기타 동물,양천구,10,1,3,6,0
2016,개,영등포구,175,57,44,74,0
2016,고양이,영등포구,94,0,26,68,0
2016,기타 동물,영등포구,10,0,9,1,0
2016,개,용산구,252,138,98,16,0
2016,고양이,용산구,216,3,119,93,1
2016,기타 동물,용산구,14,0,3,10,1
2016,개,은평구,308,99,53,152,4
2016,고양이,은평구,124,3,12,109,0
2016,기타 동물,은평구,17,0,15,2,0
2016,개,종로구,165,47,26,92,0
2016,고양이,종로구,72,1,6,65,0
2016,기타 동물,종로구,5,0,4,1,0
2016,개,중구,85,27,21,37,0
2016,고양이,중구,65,0,5,60,0
2016,기타 동물,중구,9,1,8,0,0
2016,개,중랑구,310,106,78,124,2
2016,고양이,중랑구,71,1,12,58,0
2016,기타 동물,중랑구,13,0,11,2,0
2017,개,강남구,146,52,40,54,0
2017,고양이,강남구,93,0,18,75,0
2017,기타 동물,강남구,7,2,5,0,0
2017,개,강동구,255,84,59,111,1
2017,고양이,강동구,178,1,68,57,52
2017,기타 동물,강동구,9,0,7,2,0
2017,개,강북구,276,86,77,113,0
2017,고양이,강북구,95,0,22,73,0
2017,기타 동물,강북구,11,0,9,2,0
2017,개,강서구,275,99,64,112,0
2017,고양이,강서구,87,2,17,68,0
2017,기타 동물,강서구,12,2,9,1,0
2017,개,관악구,450,167,266,17,0
2017,고양이,관악구,227,2,158,67,0
2017,기타 동물,관악구,24,0,20,4,0
2017,개,광진구,189,86,38,63,2
2017,고양이,광진구,109,2,20,87,0
2017,기타 동물,광진구,12,1,9,2,0
2017,개,구로구,206,51,67,88,0
2017,고양이,구로구,20,0,4,16,0
2017,기타 동물,구로구,7,1,5,1,0
2017,개,금천구,138,42,36,60,0
2017,고양이,금천구,43,2,6,35,0
2017,기타 동물,금천구,3,0,3,0,0
2017,개,노원구,237,84,41,110,2
2017,고양이,노원구,86,1,9,76,0
2017,기타 동물,노원구,16,1,12,3,0
2017,개,도봉구,213,81,46,86,0
2017,고양이,도봉구,107,2,11,94,0
2017,기타 동물,도봉구,11,0,8,3,0
2017,개,동대문구,236,83,56,96,1
2017,고양이,동대문구,131,2,14,113,2
2017,기타 동물,동대문구,12,0,10,2,0
2017,개,동작구,235,117,55,63,0
2017,고양이,동작구,54,4,18,32,0
2017,기타 동물,동작구,22,9,8,5,0
2017,개,마포구,242,114,103,15,10
2017,고양이,마포구,359,8,140,126,85
2017,기타 동물,마포구,9,0,2,5,2
2017,개,서대문구,192,67,39,84,2
2017,고양이,서대문구,37,5,14,18,0
2017,기타 동물,서대문구,15,1,14,0,0
2017,개,서초구,130,49,26,55,0
2017,고양이,서초구,56,2,7,47,0
2017,기타 동물,서초구,8,1,7,0,0
2017,개,성동구,154,53,34,67,0
2017,고양이,성동구,80,5,11,64,0
2017,기타 동물,성동구,15,0,11,4,0
2017,개,성북구,260,93,51,115,1
2017,고양이,성북구,99,4,16,79,0
2017,기타 동물,성북구,19,0,18,1,0
2017,개,송파구,227,71,55,101,0
2017,고양이,송파구,74,6,11,57,0
2017,기타 동물,송파구,8,1,4,3,0
2017,개,양천구,289,124,156,9,0
