year,month,title,writer,rank,split_writer,nouns
2003,4,종이 봉지 공주,"로버트 먼치 (지은이), 마이클 마르첸코 (그림), 김태희  (옮긴이) |",23,"[('로버트 먼치 ', '지은이'), (', 마이클 마르첸코 ', '그림'), (', 김태희  ', '옮긴이')]","['종이', '봉지', '공주']"
2003,4,곽재구의 포구기행,곽재구  (글) |,24,"[('곽재구  ', '글')]","['곽재구', '포구', '기행']"
2003,4,못 말리는 종이괴물,"루이 트롱댕 (지은이), 김미선  (옮긴이) |",25,"[('루이 트롱댕 ', '지은이'), (', 김미선  ', '옮긴이')]","['종이', '괴물']"
2003,4,야생초 편지,황대권  (지은이) |,26,"[('황대권  ', '지은이')]","['야생초', '편지']"
2003,4,열두 살에 부자가 된 키라,"보도 섀퍼 (지은이), 신지원 (그림), 김준광  (옮긴이) |",27,"[('보도 섀퍼 ', '지은이'), (', 신지원 ', '그림'), (', 김준광  ', '옮긴이')]",['열두 살에 부자가 된 키라']
2003,4,싹싹싹,"하야시 아키코 (지은이), 하야시 아키코  (그림) |",28,"[('하야시 아키코 ', '지은이'), (', 하야시 아키코  ', '그림')]",[]
2003,4,곰 사냥을 떠나자,"마이클 로젠 (글), 헬린 옥슨버리 (그림), 공경희  (옮긴이) |",29,"[('마이클 로젠 ', '글'), (', 헬린 옥슨버리 ', '그림'), (', 공경희  ', '옮긴이')]","['곰', '사냥']"
2003,4,똥벼락,"김회경 (글), 조혜란  (그림) |",30,"[('김회경 ', '글'), (', 조혜란  ', '그림')]","['똥', '벼락']"
2003,4,내 짝꿍 최영대,"채인선 (글), 정순희  (그림) |",31,"[('채인선 ', '글'), (', 정순희  ', '그림')]","['짝꿍', '최', '영대']"
2003,4,지각대장 존,"존 버닝햄 (지은이), 박상희  (옮긴이) |",32,"[('존 버닝햄 ', '지은이'), (', 박상희  ', '옮긴이')]","['지각', '대장', '존']"
2003,4,마당을 나온 암탉 (반양장),"황선미 (지은이), 김환영  (그림) |",33,"[('황선미 ', '지은이'), (', 김환영  ', '그림')]","['마당을 나온 암탉', '양장']"
2003,4,물은 답을 알고 있다,"에모토 마사루 (지은이), 양억관 (옮긴이) | 나무심는사람 (이레) |",34,"[('에모토 마사루 ', '지은이'), (', 양억관 ', '옮긴이'), (' | 나무심는사람 ', '이레')]",['답']
2003,4,토마토 : 토익점수 마구 올려주는 토익 Listening - 테이프 6개 (책 별매),오혜정  (지은이) |,35,"[('오혜정  ', '지은이')]","['토마토', '토익', '점수', '토익', '테이프', '책', '별', '매']"
2003,4,내 영혼이 따뜻했던 날들,"포리스트 카터 (지은이), 조경숙  (옮긴이) |",36,"[('포리스트 카터 ', '지은이'), (', 조경숙  ', '옮긴이')]","['영혼', '날']"
2003,4,파페포포 메모리즈,심승현  (지은이) |,37,"[('심승현  ', '지은이')]","['파페포포', '메모리즈']"
2003,4,손이 나왔네,"하야시 아키코 (지은이), 하야시 아키코  (그림) |",38,"[('하야시 아키코 ', '지은이'), (', 하야시 아키코  ', '그림')]",['손']
2003,4,어린 왕자,"앙투안 드 생텍쥐페리 (지은이), 박성창  (옮긴이) |",39,"[('앙투안 드 생텍쥐페리 ', '지은이'), (', 박성창  ', '옮긴이')]",['어린 왕자']
2003,4,대한민국사,한홍구  (지은이) |,40,"[('한홍구  ', '지은이')]",['대한민국사']
2003,4,요셉의 작고 낡은 오버코트가,심스 태백  (지은이) |,41,"[('심스 태백  ', '지은이')]","['요셉', '오버', '코트']"
2003,4,신기한 스쿨버스 - 전10권 세트,"조애너 콜 (글), 브루스 디건 (그림), 이연수  (옮긴이) |",42,"[('조애너 콜 ', '글'), (', 브루스 디건 ', '그림'), (', 이연수  ', '옮긴이')]","['스쿨', '버스', '세트']"
2003,4,우리 순이 어디 가니,"윤구병 (지은이), 이태수  (그림) |",43,"[('윤구병 ', '지은이'), (', 이태수  ', '그림')]","['순이', '가니']"
2003,4,도깨비를 빨아 버린 우리 엄마,"사토 와키코 (지은이), 이영준  (옮긴이) |",44,"[('사토 와키코 ', '지은이'), (', 이영준  ', '옮긴이')]","['도깨비', '엄마']"
2003,4,칠판 앞에 나가기 싫어!,"다니엘 포세트 (지은이), 베로니크 보아리 (그림), 최윤정  (옮긴이) |",45,"[('다니엘 포세트 ', '지은이'), (', 베로니크 보아리 ', '그림'), (', 최윤정  ', '옮긴이')]","['칠판', '앞']"
2003,4,내게는 소리를 듣지 못하는 여동생이 있습니다,"진 화이트하우스 피터슨 (지은이), 데보라 코간 레이 (그림), 박병철  (옮긴이) |",46,"[('진 화이트하우스 피터슨 ', '지은이'), (', 데보라 코간 레이 ', '그림'), (', 박병철  ', '옮긴이')]","['소리', '여동생']"
2003,4,아홉살 인생,위기철  (지은이) |,47,"[('위기철  ', '지은이')]",['아홉살 인생']
2003,4,"안돼, 데이빗!",데이빗 섀논  (지은이) |,48,"[('데이빗 섀논  ', '지은이')]","['안', '데이', '빗']"
2003,4,열두 띠 동물 까꿍놀이 (보드북),최숙희  (지은이) |,49,"[('최숙희  ', '지은이')]","['띠', '동물', '까꿍', '놀이', '보드', '북']"
